time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
124279,1,MQ4_CH4,0.016,ppm,19.12,55.10,1018.60
124279,1,MQ136_H2S,0.756,ppm,19.12,55.10,1018.60
124279,1,MQ8_H2,0.028,ppm,19.12,55.10,1018.60
124279,1,MQ135_CO2,402.360,ppm,19.12,55.10,1018.60
124274,1,BME_TEMP,19.120,C,19.12,55.10,1018.60
124274,1,BME_HUM,55.102,%,19.12,55.10,1018.60
124274,1,BME_PRESS,1018.600,hPa,19.12,55.10,1018.60
126637,1,MQ4_CH4,0.016,ppm,19.11,55.09,1018.61
126637,1,MQ136_H2S,0.731,ppm,19.11,55.09,1018.61
126637,1,MQ8_H2,0.028,ppm,19.11,55.09,1018.61
126637,1,MQ135_CO2,402.443,ppm,19.11,55.09,1018.61
126631,1,BME_TEMP,19.110,C,19.11,55.09,1018.61
126631,1,BME_HUM,55.090,%,19.11,55.09,1018.61
126631,1,BME_PRESS,1018.610,hPa,19.11,55.09,1018.61
128974,1,MQ4_CH4,0.016,ppm,19.11,55.07,1018.60
128974,1,MQ136_H2S,0.751,ppm,19.11,55.07,1018.60
128974,1,MQ8_H2,0.029,ppm,19.11,55.07,1018.60
128974,1,MQ135_CO2,403.012,ppm,19.11,55.07,1018.60
128970,1,BME_TEMP,19.110,C,19.11,55.07,1018.60
128970,1,BME_HUM,55.068,%,19.11,55.07,1018.60
128970,1,BME_PRESS,1018.602,hPa,19.11,55.07,1018.60
131313,1,MQ4_CH4,0.042,ppm,19.10,55.04,1018.59
131313,1,MQ136_H2S,0.751,ppm,19.10,55.04,1018.59
131313,1,MQ8_H2,0.228,ppm,19.10,55.04,1018.59
131313,1,MQ135_CO2,403.013,ppm,19.10,55.04,1018.59
131308,1,BME_TEMP,19.100,C,19.10,55.04,1018.59
131308,1,BME_HUM,55.045,%,19.10,55.04,1018.59
131308,1,BME_PRESS,1018.590,hPa,19.10,55.04,1018.59
133651,1,MQ4_CH4,0.041,ppm,19.10,55.09,1018.62
133651,1,MQ136_H2S,0.799,ppm,19.10,55.09,1018.62
133651,1,MQ8_H2,0.210,ppm,19.10,55.09,1018.62
133651,1,MQ135_CO2,403.704,ppm,19.10,55.09,1018.62
133646,1,BME_TEMP,19.100,C,19.10,55.09,1018.62
133646,1,BME_HUM,55.089,%,19.10,55.09,1018.62
133646,1,BME_PRESS,1018.615,hPa,19.10,55.09,1018.62
135989,1,MQ4_CH4,0.038,ppm,19.10,55.09,1018.58
135989,1,MQ136_H2S,0.761,ppm,19.10,55.09,1018.58
135989,1,MQ8_H2,0.191,ppm,19.10,55.09,1018.58
135989,1,MQ135_CO2,403.407,ppm,19.10,55.09,1018.58
135984,1,BME_TEMP,19.100,C,19.10,55.09,1018.58
135984,1,BME_HUM,55.089,%,19.10,55.09,1018.58
135984,1,BME_PRESS,1018.583,hPa,19.10,55.09,1018.58
138327,1,MQ4_CH4,1.018,ppm,19.09,55.14,1018.61
138327,1,MQ136_H2S,0.761,ppm,19.09,55.14,1018.61
138327,1,MQ8_H2,0.192,ppm,19.09,55.14,1018.61
138327,1,MQ135_CO2,405.056,ppm,19.09,55.14,1018.61
138321,1,BME_TEMP,19.090,C,19.09,55.14,1018.61
138321,1,BME_HUM,55.143,%,19.09,55.14,1018.61
138321,1,BME_PRESS,1018.610,hPa,19.09,55.14,1018.61
140664,1,MQ4_CH4,0.918,ppm,19.09,55.18,1018.59
140664,1,MQ136_H2S,0.715,ppm,19.09,55.18,1018.59
140664,1,MQ8_H2,0.175,ppm,19.09,55.18,1018.59
140664,1,MQ135_CO2,404.574,ppm,19.09,55.18,1018.59
140660,1,BME_TEMP,19.090,C,19.09,55.18,1018.59
