time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
140682,1,MQ4_CH4,18.564,ppm,25.86,66.93,1010.80
140682,1,MQ136_H2S,2.096,ppm,25.86,66.93,1010.80
140682,1,MQ8_H2,0.051,ppm,25.86,66.93,1010.80
140682,1,MQ135_CO2,400.177,ppm,25.86,66.93,1010.80
140677,1,BME_TEMP,25.860,C,25.86,66.93,1010.80
140677,1,BME_HUM,66.930,%,25.86,66.93,1010.80
140677,1,BME_PRESS,1010.796,hPa,25.86,66.93,1010.80
142070,1,MQ4_CH4,18.564,ppm,25.88,66.71,1010.80
142070,1,MQ136_H2S,2.096,ppm,25.88,66.71,1010.80
142070,1,MQ8_H2,0.051,ppm,25.88,66.71,1010.80
142070,1,MQ135_CO2,400.177,ppm,25.88,66.71,1010.80
142066,1,BME_TEMP,25.880,C,25.88,66.71,1010.80
142066,1,BME_HUM,66.705,%,25.88,66.71,1010.80
142066,1,BME_PRESS,1010.796,hPa,25.88,66.71,1010.80
143410,1,MQ4_CH4,18.564,ppm,25.86,66.25,1010.80
143410,1,MQ136_H2S,2.096,ppm,25.86,66.25,1010.80
143410,1,MQ8_H2,0.051,ppm,25.86,66.25,1010.80
143410,1,MQ135_CO2,400.178,ppm,25.86,66.25,1010.80
143405,1,BME_TEMP,25.860,C,25.86,66.25,1010.80
143405,1,BME_HUM,66.249,%,25.86,66.25,1010.80
143405,1,BME_PRESS,1010.801,hPa,25.86,66.25,1010.80
144749,1,MQ4_CH4,18.564,ppm,25.87,66.09,1010.86
144749,1,MQ136_H2S,2.096,ppm,25.87,66.09,1010.86
144749,1,MQ8_H2,0.051,ppm,25.87,66.09,1010.86
144749,1,MQ135_CO2,400.179,ppm,25.87,66.09,1010.86
144744,1,BME_TEMP,25.870,C,25.87,66.09,1010.86
144744,1,BME_HUM,66.094,%,25.87,66.09,1010.86
144744,1,BME_PRESS,1010.859,hPa,25.87,66.09,1010.86
146088,1,MQ4_CH4,18.564,ppm,25.87,65.81,1010.80
146088,1,MQ136_H2S,2.096,ppm,25.87,65.81,1010.80
146088,1,MQ8_H2,0.051,ppm,25.87,65.81,1010.80
146088,1,MQ135_CO2,400.179,ppm,25.87,65.81,1010.80
146083,1,BME_TEMP,25.870,C,25.87,65.81,1010.80
146083,1,BME_HUM,65.809,%,25.87,65.81,1010.80
146083,1,BME_PRESS,1010.801,hPa,25.87,65.81,1010.80
147427,1,MQ4_CH4,18.594,ppm,25.87,65.73,1010.82
147427,1,MQ136_H2S,2.093,ppm,25.87,65.73,1010.82
147427,1,MQ8_H2,0.050,ppm,25.87,65.73,1010.82
147427,1,MQ135_CO2,400.179,ppm,25.87,65.73,1010.82
147423,1,BME_TEMP,25.870,C,25.87,65.73,1010.82
147423,1,BME_HUM,65.731,%,25.87,65.73,1010.82
147423,1,BME_PRESS,1010.815,hPa,25.87,65.73,1010.82
148766,1,MQ4_CH4,18.622,ppm,25.86,65.57,1010.81
148766,1,MQ136_H2S,2.089,ppm,25.86,65.57,1010.81
148766,1,MQ8_H2,0.050,ppm,25.86,65.57,1010.81
148766,1,MQ135_CO2,400.180,ppm,25.86,65.57,1010.81
148761,1,BME_TEMP,25.860,C,25.86,65.57,1010.81
148761,1,BME_HUM,65.571,%,25.86,65.57,1010.81
148761,1,BME_PRESS,1010.806,hPa,25.86,65.57,1010.81
150106,1,MQ4_CH4,18.646,ppm,25.86,65.62,1010.79
150106,1,MQ136_H2S,2.086,ppm,25.86,65.62,1010.79
150106,1,MQ8_H2,0.050,ppm,25.86,65.62,1010.79
150106,1,MQ135_CO2,400.180,ppm,25.86,65.62,1010.79
150100,1,BME_TEMP,25.860,C,25.86,65.62,1010.79
150100,1,BME_HUM,65.616,%,25.86,65.62,1010.79
150100,1,BME_PRESS,1010.786,hPa,25.86,65.62,1010.79
151445,1,MQ4_CH4,18.668,ppm,25.89,65.81,1010.80
151445,1,MQ136_H2S,2.083,ppm,25.89,65.81,1010.80
151445,1,MQ8_H2,0.050,ppm,25.89,65.81,1010.80
151445,1,MQ135_CO2,400.179,ppm,25.89,65.81,1010.80
151440,1,BME_TEMP,25.890,C,25.89,65.81,1010.80
151440,1,BME_HUM,65.812,%,25.89,65.81,1010.80
151440,1,BME_PRESS,1010.805,hPa,25.89,65.81,1010.80
152783,1,MQ4_CH4,18.658,ppm,25.88,65.60,1010.81
152783,1,MQ136_H2S,2.081,ppm,25.88,65.60,1010.81
152783,1,MQ8_H2,0.050,ppm,25.88,65.60,1010.81
152783,1,MQ135_CO2,400.180,ppm,25.88,65.60,1010.81
152779,1,BME_TEMP,25.880,C,25.88,65.60,1010.81
152779,1,BME_HUM,65.596,%,25.88,65.60,1010.81
152779,1,BME_PRESS,1010.813,hPa,25.88,65.60,1010.81
154123,1,MQ4_CH4,18.648,ppm,25.89,65.52,1010.82
154123,1,MQ136_H2S,2.079,ppm,25.89,65.52,1010.82
154123,1,MQ8_H2,0.050,ppm,25.89,65.52,1010.82
154123,1,MQ135_CO2,400.180,ppm,25.89,65.52,1010.82
154118,1,BME_TEMP,25.890,C,25.89,65.52,1010.82
154118,1,BME_HUM,65.519,%,25.89,65.52,1010.82
154118,1,BME_PRESS,1010.816,hPa,25.89,65.52,1010.82
155462,1,MQ4_CH4,18.640,ppm,25.89,65.37,1010.83
155462,1,MQ136_H2S,2.077,ppm,25.89,65.37,1010.83
155462,1,MQ8_H2,0.050,ppm,25.89,65.37,1010.83
155462,1,MQ135_CO2,400.180,ppm,25.89,65.37,1010.83
155457,1,BME_TEMP,25.890,C,25.89,65.37,1010.83
155457,1,BME_HUM,65.371,%,25.89,65.37,1010.83
155457,1,BME_PRESS,1010.834,hPa,25.89,65.37,1010.83
156802,1,MQ4_CH4,18.632,ppm,25.91,65.43,1010.80
156802,1,MQ136_H2S,2.075,ppm,25.91,65.43,1010.80
156802,1,MQ8_H2,0.050,ppm,25.91,65.43,1010.80
156802,1,MQ135_CO2,400.180,ppm,25.91,65.43,1010.80
156796,1,BME_TEMP,25.910,C,25.91,65.43,1010.80
156796,1,BME_HUM,65.431,%,25.91,65.43,1010.80
156796,1,BME_PRESS,1010.804,hPa,25.91,65.43,1010.80
158140,1,MQ4_CH4,18.626,ppm,25.91,65.32,1010.81
158140,1,MQ136_H2S,2.073,ppm,25.91,65.32,1010.81
158140,1,MQ8_H2,0.050,ppm,25.91,65.32,1010.81
158140,1,MQ135_CO2,400.180,ppm,25.91,65.32,1010.81
158136,1,BME_TEMP,25.910,C,25.91,65.32,1010.81
158136,1,BME_HUM,65.317,%,25.91,65.32,1010.81
158136,1,BME_PRESS,1010.813,hPa,25.91,65.32,1010.81
159479,1,MQ4_CH4,18.619,ppm,25.91,65.16,1010.82
159479,1,MQ136_H2S,2.072,ppm,25.91,65.16,1010.82
159479,1,MQ8_H2,0.050,ppm,25.91,65.16,1010.82
159479,1,MQ135_CO2,400.180,ppm,25.91,65.16,1010.82
159474,1,BME_TEMP,25.910,C,25.91,65.16,1010.82
159474,1,BME_HUM,65.157,%,25.91,65.16,1010.82
159474,1,BME_PRESS,1010.816,hPa,25.91,65.16,1010.82
160819,1,MQ4_CH4,18.614,ppm,25.92,65.46,1010.81
160819,1,MQ136_H2S,2.070,ppm,25.92,65.46,1010.81
160819,1,MQ8_H2,0.050,ppm,25.92,65.46,1010.81
160819,1,MQ135_CO2,400.180,ppm,25.92,65.46,1010.81
160814,1,BME_TEMP,25.920,C,25.92,65.46,1010.81
160814,1,BME_HUM,65.455,%,25.92,65.46,1010.81
160814,1,BME_PRESS,1010.806,hPa,25.92,65.46,1010.81
162158,1,MQ4_CH4,18.609,ppm,25.93,65.58,1010.78
162158,1,MQ136_H2S,2.069,ppm,25.93,65.58,1010.78
162158,1,MQ8_H2,0.050,ppm,25.93,65.58,1010.78
162158,1,MQ135_CO2,400.179,ppm,25.93,65.58,1010.78
162153,1,BME_TEMP,25.930,C,25.93,65.58,1010.78
162153,1,BME_HUM,65.581,%,25.93,65.58,1010.78
162153,1,BME_PRESS,1010.782,hPa,25.93,65.58,1010.78
163496,1,MQ4_CH4,18.605,ppm,25.91,65.15,1010.79
163496,1,MQ136_H2S,2.064,ppm,25.91,65.15,1010.79
163496,1,MQ8_H2,0.050,ppm,25.91,65.15,1010.79
163496,1,MQ135_CO2,400.180,ppm,25.91,65.15,1010.79
163492,1,BME_TEMP,25.910,C,25.91,65.15,1010.79
163492,1,BME_HUM,65.147,%,25.91,65.15,1010.79
163492,1,BME_PRESS,1010.787,hPa,25.91,65.15,1010.79
164836,1,MQ4_CH4,18.601,ppm,25.92,65.14,1010.80
164836,1,MQ136_H2S,2.060,ppm,25.92,65.14,1010.80
164836,1,MQ8_H2,0.050,ppm,25.92,65.14,1010.80
164836,1,MQ135_CO2,400.180,ppm,25.92,65.14,1010.80
164831,1,BME_TEMP,25.920,C,25.92,65.14,1010.80
164831,1,BME_HUM,65.139,%,25.92,65.14,1010.80
